The file is obtained by taking the median of 5 runs of mml-ES with GP (dim(data)=10)
 
 mu      lambda  linear        quadratic         cubic           Schwefel        quartic
-----------------------------------------------------------------------------------------
2.00 	 10.00 	 697.00 	 308.00 	 267.00 	 2848.00 	 1084.00
2.00 	 20.00 	 608.00 	 219.00 	 285.00 	 3040.00 	 748.00
2.00 	 30.00 	 569.00 	 208.00 	 281.00 	 3040.00 	 762.00
2.00 	 40.00 	 580.00 	 198.00 	 364.00 	 3040.00 	 846.00
2.00 	 50.00 	 587.00 	 195.00 	 318.00 	 3040.00 	 3040.00
3.00 	 10.00 	 743.00 	 272.00 	 296.00 	 2844.00 	 969.00
3.00 	 20.00 	 606.00 	 216.00 	 250.00 	 3040.00 	 715.00
3.00 	 30.00 	 606.00 	 198.00 	 269.00 	 3040.00 	 623.00
3.00 	 40.00 	 592.00 	 197.00 	 285.00 	 3040.00 	 3040.00
3.00 	 50.00 	 607.00 	 195.00 	 3040.00 	 3040.00 	 3040.00
4.00 	 10.00 	 785.00 	 308.00 	 270.00 	 2654.00 	 1100.00
4.00 	 20.00 	 641.00 	 211.00 	 264.00 	 3040.00 	 674.00
4.00 	 30.00 	 609.00 	 196.00 	 269.00 	 3040.00 	 686.00
4.00 	 40.00 	 650.00 	 191.00 	 291.00 	 3040.00 	 3040.00
4.00 	 50.00 	 677.00 	 190.00 	 408.00 	 3040.00 	 3040.00
5.00 	 10.00 	 860.00 	 329.00 	 327.00 	 2429.00 	 1352.00
5.00 	 20.00 	 654.00 	 207.00 	 274.00 	 3040.00 	 736.00
5.00 	 30.00 	 656.00 	 204.00 	 273.00 	 3040.00 	 607.00
5.00 	 40.00 	 695.00 	 186.00 	 315.00 	 3040.00 	 3040.00
5.00 	 50.00 	 656.00 	 187.00 	 284.00 	 3040.00 	 3040.00
6.00 	 10.00 	 1003.00 	 417.00 	 344.00 	 2718.00 	 1577.00
6.00 	 20.00 	 667.00 	 210.00 	 286.00 	 2398.00 	 776.00
6.00 	 30.00 	 636.00 	 199.00 	 296.00 	 3040.00 	 658.00
6.00 	 40.00 	 744.00 	 181.00 	 292.00 	 3040.00 	 3040.00
6.00 	 50.00 	 692.00 	 180.00 	 394.00 	 3040.00 	 3040.00

