The file is obtained by taking the median of 5 runs of mml-ES with GP (dim(data)=10)
 
 mu      lambda  linear         quadratic        cubic           Schwefel       quartic
---------------------------------------------------------------------------------------------
2.00 	 8.00 	 791.00 	 342.00 	 399.00 	 1794.00 	 1147.00
2.00 	 9.00 	 722.00 	 342.00 	 340.00 	 1420.00 	 1022.00
2.00 	 10.00 	 756.00 	 306.00 	 383.00 	 1286.00 	 1132.00
2.00 	 11.00 	 696.00 	 324.00 	 463.00 	 5040.00 	 1048.00
2.00 	 12.00 	 703.00 	 310.00 	 816.00 	 1405.00 	 960.00
2.00 	 13.00 	 721.00 	 310.00 	 828.00 	 5040.00 	 967.00
2.00 	 14.00 	 719.00 	 271.00 	 809.00 	 5040.00 	 952.00
2.00 	 15.00 	 771.00 	 283.00 	 913.00 	 1461.00 	 915.00
3.00 	 8.00 	 784.00 	 370.00 	 378.00 	 1507.00 	 1279.00
3.00 	 9.00 	 742.00 	 364.00 	 450.00 	 1299.00 	 995.00
3.00 	 10.00 	 734.00 	 329.00 	 375.00 	 1327.00 	 1099.00
3.00 	 11.00 	 768.00 	 326.00 	 531.00 	 1319.00 	 1118.00
3.00 	 12.00 	 714.00 	 315.00 	 865.00 	 1571.00 	 1037.00
3.00 	 13.00 	 767.00 	 304.00 	 646.00 	 1512.00 	 995.00
3.00 	 14.00 	 745.00 	 279.00 	 895.00 	 1431.00 	 956.00
3.00 	 15.00 	 731.00 	 279.00 	 625.00 	 2124.00 	 957.00
4.00 	 8.00 	 903.00 	 400.00 	 426.00 	 1675.00 	 1480.00
4.00 	 9.00 	 858.00 	 336.00 	 401.00 	 1611.00 	 1242.00
4.00 	 10.00 	 814.00 	 338.00 	 420.00 	 1402.00 	 1119.00
4.00 	 11.00 	 737.00 	 368.00 	 619.00 	 1349.00 	 998.00
4.00 	 12.00 	 796.00 	 308.00 	 674.00 	 1345.00 	 1092.00
4.00 	 13.00 	 763.00 	 310.00 	 831.00 	 1263.00 	 1098.00
4.00 	 14.00 	 805.00 	 312.00 	 945.00 	 1315.00 	 1028.00
4.00 	 15.00 	 724.00 	 300.00 	 810.00 	 1316.00 	 1000.00
